年齢,エネルギー[kcal],たんぱく質[g],脂質[g],炭水化物[g],カルシウム[mg],鉄[mg],ビタミンＡ[μg],ビタミンＢ１[mg],ビタミンＢ２[mg],ビタミンＣ[mg],食物繊維[g],食塩相当量[g]
3~5,1300,25,36.1,186.9,600,5.5,450,0.7,0.8,50,8,3.5
6~7,1550,30,43.1,222.8,600,5.5,400,0.8,0.9,60,10,4.5
8~9,1850,40,51.4,265.9,650,7,500,1,1.1,70,11,5
10~11,2250,45,62.5,323.4,700,8.5,600,1.2,1.4,85,13,6
12~14,2600,60,72.2,373.8,1000,10,800,1.4,1.6,100,17,7
15~17,2800,65,77.8,402.5,800,10,900,1.5,1.7,100,19,7.5
18~29,2650,65,73.6,380.9,800,7.5,850,1.4,1.6,100,21,7.5
30~49,2700,65,75,388.1,750,7.5,900,1.4,1.6,100,21,7.5
50~64,2600,65,72.2,373.8,750,7.5,900,1.3,1.5,100,21,7.5
65~74,2400,60,66.7,345,750,7.5,850,1.3,1.5,100,20,7.5
75~,2100,60,58.3,301.9,700,7,800,1.2,1.3,100,20,7.5
